title;author;journal;number;cites;year;cid;pubid;type;doi;;;;;
Fencing amplifies individual differences in movement with implications on survival for two migratory ungulates;W Xu, LC Gigliotti, R Royauté, H Sawyer, AD Middleton;Journal of Animal Ecology;;0;2023;NA;PELIpwtuRlgC;Article;https://doi.org/10.1111/1365-2656.13879;;;;;0
Classifying the activity states of small vertebrates using automated VHF telemetry;J Gottwald, R Royauté, M Becker, T Geitz, J Höchst, P Lampe, L Leister, ...;Methods in Ecology and Evolution;14 (1), 252-264;0;2023;NA;tkaPQYYpVKoC;Article;https://doi.org/10.1111/2041-210X.14037;;;;;
Moving away from repeatability: a comment on Stuber et al.;NJ Dingemanse, AG Hertel, R Royauté;Behavioral Ecology;33 (3), 488-489;8;2022;1.49E+18;Y5dfb0dijaUC;Article;https://doi.org/10.1093/beheco/arac006;;;;;
Phylogenetic conservation of behavioural variation and behavioural syndromes;J Dalos, R Royauté, AV Hedrick, NA Dochtermann;Journal of Evolutionary Biology;35 (2), 311-321;1;2022;1.73E+19;AXPGKjj_ei8C;Article;https://doi.org/10.1111/jeb.13935;;;;;
Biologging reveals individual variation in behavioural predictability in the wild;AG Hertel, R Royauté, A Zedrosser, T Mueller;Journal of Animal Ecology;90 (3), 723-737;29;2021;1.54E+19;t6usbXjVLHcC;Article;https://doi.org/10.1111/1365-2656.13406;;;;;
Comparing ecological and evolutionary variability within datasets;R Royauté, NA Dochtermann;Behavioral Ecology and Sociobiology;75 (9), 127;14;2021;5.33E+18;XiVPGOgt02cC;Article;https://doi.org/10.1007/s00265-021-03068-3;;;;;
Behavioural syndromes shape evolutionary trajectories via conserved genetic architecture;R Royauté, A Hedrick, NA Dochtermann;Proceedings of the Royal Society B;287 (1927), 20200183;27;2020;1.69E+19;J-pR_7NvFogC;Article;https://doi.org/10.1098/rspb.2020.0183;;;;;
The heritability of behavior: a meta-analysis;NA Dochtermann, T Schwab, M Anderson Berdal, J Dalos, R Royauté;Journal of Heredity;110 (4), 403-410;104;2019;1.13E+19;wbdj-CoPYUoC;Article;https://doi.org/10.1093/jhered/esz023;;;;;
The mean matters: going beyond repeatability to interpret behavioural variation;NA Dochtermann, R Royauté;Animal Behaviour;153, 147-150;41;2019;10149552996093596487,111554343108646746;5ugPr518TE4C;Article;https://doi.org/10.1016/j.anbehav.2019.05.012;;;;;
Current energy state interacts with the developmental environment to influence behavioural plasticity;R Royauté, C Garrison, J Dalos, MA Berdal, NA Dochtermann;Animal behaviour;148, 39-51;28;2019;1.55E+19;V3AGJWp-ZtQC;Article;https://doi.org/10.1016/j.anbehav.2018.11.013;;;;;
Paceless life? A meta-analysis of the pace-of-life syndrome hypothesis;R Royauté, MA Berdal, CR Garrison, NA Dochtermann;Behavioral Ecology and Sociobiology;72, 1-10;167;2018;2.39E+17;q3oQSFYPqjQC;Article;https://doi.org/10.1007/s00265-018-2472-z;;;;;
Phenotypic integration in an extended phenotype: among‐individual variation in nest‐building traits of the alfalfa leafcutting bee (Megachile rotundata);R Royauté, ES Wilson, BR Helm, RE Mallinger, J Prasifka, KJ Greenlee, ...;Journal of Evolutionary Biology;;9;2018;1.32E+19;BrmTIyaxlBUC;Article;https://doi.org/10.1111/jeb.13259;;;;;
When the mean no longer matters: Developmental diet affects behavioral variation but not population averages in the house cricket (Acheta domesticus);R Royauté, NA Dochtermann;Behavioral Ecology;28 (1), 337-345;43;2017;6.12E+18;D_sINldO8mEC;Article;http://dx.doi.org/10.1002/ece3.3306;;;;;
Genetic conservation and management of the California endemic  Torrey pine (Pinus torreyana Parry): Implications of genetic rescue in a genetically depauperate species;JA Hamilton, R Royauté, JW Wright, P Hodgskiss, FT Ledig;Ecology and Evolution;7 (18), 7370-7381;32;2017;1.08E+19;eflP2zaiRacC;Article;http://dx.doi.org/10.1002/ece3.3306;;;;;
Under the influence: sublethal exposure to an insecticide affects personality expression in a jumping spider;R Royauté, CM Buddle, C Vincent;Functional Ecology;29 (7), 962-970;53;2015;1.21E+19;5Ul4iDaHHb8C;Article;http://dx.doi.org/10.1111/1365-2435.12413;;;;;
Behaviour  metabolism and size: phenotypic modularity or integration in Acheta domesticus?;R Royauté, K Greenlee, M Baldwin, NA Dochtermann;Animal Behaviour;110, 163-169;48;2015;1.26E+19;VOx2b1Wkg3QC;Article;http://dx.doi.org/10.1016/j.anbehav.2015.09.027;;;;;
Contaminants as a neglected source of behavioural variation;PO Montiglio, R Royauté;Animal Behavior;88, 29-35;73;2014;4.95E+18;geHnlv5EZngC;Article;http://dx.doi.org/10.1016/j.anbehav.2013.11.018;;;;;
Interpopulation variations in behavioral syndromes of a jumping spider from insecticide‐treated and insecticide‐free orchards;R Royauté, CM Buddle, C Vincent;Ethology;120 (2), 127-139;58;2014;9.57E+18;u-x6o8ySG0sC;Article;http://dx.doi.org/10.1111/eth.12185;;;;;
Colonization dynamics of agroecosystem spider assemblages after snow-melt in Quebec (Canada);R Royauté, CM Buddle;Journal of Arachnology;40 (1), 48-58;13;2012;8.05E+18;u5HHmVD_uO8C;Article;http://dx.doi.org/10.1636/P11-16.1;;;;;
Varying predator personalities generates contrasting prey communities in an agroecosystem (vol 96;R Royaute, JN Pruitt;ECOLOGY;;0;2021;NA;HE397vMXCloC;Correction;https://doi.org/10.1890/14-2424.1;;;;;
Sex-specific behavioral syndromes allow the independent evolution of behavioral dimorphism;R Royauté, A Hedrick, NA Dochtermann;EcoEvoRxiv;;1;2021;1.45E+19;WA5NYHcadZ8C;Preprint;https://doi.org/10.32942/osf.io/4abp6;;;;;
Drift on holey landscapes as a dominant evolutionary process;NA Dochtermann, B Klock, DA Roff, R Royauté;bioRxiv;2021.10. 22.465488;0;2021;NA;eMMeJKvmdy0C;Preprint;https://doi.org/10.1101/2021.10.22.465488;;;;;
Integration of intra-and inter-sexual selection signaling;CR Garrison, R Royauté, NA Dochtermann;bioRxiv;2020.05. 14.088518;1;2020;1.22E+18;olpn-zPbct0C;Preprint;https://doi.org/10.1101/2020.05.14.088518;;;;;
Factors influencing behavioural variation in apple orchard populations of the jumping spider «Eris militaris»(Araneae: Salticidae);RJ Royauté;McGill University/Université McGill;;0;2014;NA;8AbLer7MMksC;Thesis;https://hal.science/tel-03840936/;;;;;
